FID,Plant,Log_number,Latitude,Longitude,Observatio,issues,BIO1_30s,BIO2_30s,BIO3_30s,BIO4_30s,BIO5_30s,BIO6_30s,BIO7_30s,BIO8_30s,BIO9_30s,BIO10_30s,BIO11_30s,BIO12_30s,BIO13_30s,BIO14_30s,BIO15_30s,BIO16_30s,BIO17_30s,BIO18_30s,BIO19_30s
39,Lonicera maackii,1305166064,43.041283,-89.430147,HUMAN_OBSERVATION,gass84,7.874999934,11.13333347,26.82730957,1090.217864,26.5,-15,41.5,20.71666654,-6.266666755,20.71666654,-6.266666755,828,104,29,38.52570643,302,102,302,102
40,Lonicera maackii,1258145269,43.046389,-90.541389,PRESERVED_SPECIMEN,"cdround,gass84,iddatunl",7.733333339,11.09999992,26.49164684,1104.098424,26.39999962,-15.5,41.89999962,20.61666648,-6.716666698,20.61666648,-6.716666698,837,106,25,42.47611185,311,89,311,89
41,Lonicera maackii,143151177,43,125.333333,LIVING_SPECIMEN,"cdround,gass84",5.224999992,11.93333322,22.99293509,1426.32154,29,-22.89999962,51.89999962,21.68333324,-13.74999976,21.68333324,-13.74999976,708,189,7,102.0645468,450,22,450,22
42,Lonicera maackii,1850909618,42.888263,-80.303708,HUMAN_OBSERVATION,"cdround,gass84",8.037500007,9.624999891,26.51515177,978.7518078,24.79999924,-11.5,36.29999924,19.06666644,-3.466666623,19.79999987,-4.266666635,939,89,55,13.00385989,251,195,245,205
43,Lonicera maackii,891760962,42.932008,-88.034258,HUMAN_OBSERVATION,gass84,8.183333249,10.25000008,26.34961487,1035.581364,25.89999962,-13,38.89999962,20.46666622,-5.13333334,20.46666622,-5.13333334,835,98,31,33.06344729,286,119,286,119
44,Lonicera maackii,1030440232,42.9,-86.2,PRESERVED_SPECIMEN,gass84,8.52499994,10.09999988,28.37078663,936.2509716,24.89999962,-10.69999981,35.59999943,19.24999968,-2.283333321,19.81666629,-3.149999956,850,100,33,23.69069509,258,143,235,161
45,Lonicera maackii,1838368561,42.789975,-77.8227,HUMAN_OBSERVATION,gass84,8.441666561,11.03333313,29.57998218,963.119519,25.89999962,-11.39999962,37.29999924,20.14999962,-2.766666591,20.14999962,-3.583333274,850,94,41,24.10355023,261,142,261,147
46,Lonicera maackii,1847496720,42.707282,-84.872197,HUMAN_OBSERVATION,"cdround,gass84",8.470833267,11.37500011,29.16666766,1004.579185,26.29999924,-12.69999981,38.99999905,19.44999997,-2.98333325,20.51666641,-4.350000024,843,95,36,26.1624453,258,138,254,139
47,Lonicera maackii,1847483656,42.72247,-84.934736,HUMAN_OBSERVATION,"cdround,gass84",8.458333348,11.31666665,29.24203212,999.7836889,26.20000076,-12.5,38.70000076,19.38333337,-2.949999928,20.45000013,-4.283333302,850,96,36,26.11045356,260,139,256,141
48,Lonicera maackii,1703129069,42.78815,-77.823753,HUMAN_OBSERVATION,"cdround,gass84",8.441666561,11.03333313,29.57998218,963.119519,25.89999962,-11.39999962,37.29999924,20.14999962,-2.766666591,20.14999962,-3.583333274,850,94,41,24.10355023,261,142,261,147
49,Lonicera maackii,1640105380,42.789,-77.824,HUMAN_OBSERVATION,gass84,8.441666561,11.03333313,29.57998218,963.119519,25.89999962,-11.39999962,37.29999924,20.14999962,-2.766666591,20.14999962,-3.583333274,850,94,41,24.10355023,261,142,261,147
50,Lonicera maackii,1640109357,42.790305,-77.824255,HUMAN_OBSERVATION,gass84,8.441666561,11.03333313,29.57998218,963.119519,25.89999962,-11.39999962,37.29999924,20.14999962,-2.766666591,20.14999962,-3.583333274,850,94,41,24.10355023,261,142,261,147
51,Lonicera maackii,1640106387,42.789721,-77.824511,HUMAN_OBSERVATION,"cdround,gass84",8.441666561,11.03333313,29.57998218,963.119519,25.89999962,-11.39999962,37.29999924,20.14999962,-2.766666591,20.14999962,-3.583333274,850,94,41,24.10355023,261,142,261,147
52,Lonicera maackii,1640107158,42.792252,-77.821012,HUMAN_OBSERVATION,gass84,8.520833306,11.07499994,29.61229962,963.4253637,26,-11.39999962,37.39999962,20.23333311,-2.699999968,20.23333311,-3.516666651,845,94,40,24.66419377,262,140,262,144
53,Lonicera maackii,1677277638,42.78963,-77.824495,HUMAN_OBSERVATION,gass84,8.441666561,11.03333313,29.57998218,963.119519,25.89999962,-11.39999962,37.29999924,20.14999962,-2.766666591,20.14999962,-3.583333274,850,94,41,24.10355023,261,142,261,147
54,Lonicera maackii,1668808736,42.789217,-77.823209,HUMAN_OBSERVATION,"cdround,gass84",8.441666561,11.03333313,29.57998218,963.119519,25.89999962,-11.39999962,37.29999924,20.14999962,-2.766666591,20.14999962,-3.583333274,850,94,41,24.10355023,261,142,261,147
55,Lonicera maackii,1453121724,42.789647,-77.822792,HUMAN_OBSERVATION,"cdround,gass84",8.441666561,11.03333313,29.57998218,963.119519,25.89999962,-11.39999962,37.29999924,20.14999962,-2.766666591,20.14999962,-3.583333274,850,94,41,24.10355023,261,142,261,147
56,Lonicera maackii,1323027498,42.787894,-77.823066,HUMAN_OBSERVATION,"cdround,gass84",8.441666561,11.03333313,29.57998218,963.119519,25.89999962,-11.39999962,37.29999924,20.14999962,-2.766666591,20.14999962,-3.583333274,850,94,41,24.10355023,261,142,261,147
57,Lonicera maackii,1703125944,42.789528,-77.823137,HUMAN_OBSERVATION,"cdround,gass84",8.441666561,11.03333313,29.57998218,963.119519,25.89999962,-11.39999962,37.29999924,20.14999962,-2.766666591,20.14999962,-3.583333274,850,94,41,24.10355023,261,142,261,147
58,Lonicera maackii,1323030759,42.789757,-77.823044,HUMAN_OBSERVATION,"cdround,gass84",8.441666561,11.03333313,29.57998218,963.119519,25.89999962,-11.39999962,37.29999924,20.14999962,-2.766666591,20.14999962,-3.583333274,850,94,41,24.10355023,261,142,261,147
59,Lonicera maackii,1453122290,42.790292,-77.824425,HUMAN_OBSERVATION,"cdround,gass84",8.441666561,11.03333313,29.57998218,963.119519,25.89999962,-11.39999962,37.29999924,20.14999962,-2.766666591,20.14999962,-3.583333274,850,94,41,24.10355023,261,142,261,147
60,Lonicera maackii,1703125935,42.789303,-77.823145,HUMAN_OBSERVATION,"cdround,gass84",8.441666561,11.03333313,29.57998218,963.119519,25.89999962,-11.39999962,37.29999924,20.14999962,-2.766666591,20.14999962,-3.583333274,850,94,41,24.10355023,261,142,261,147
61,Lonicera maackii,1030480136,42.764722,-84.379667,PRESERVED_SPECIMEN,"cdround,gass84",8.420833312,10.6583334,27.97462806,1002.135129,26,-12.10000038,38.10000038,19.44999997,-4.300000091,20.48333327,-4.300000091,790,89,35,26.2966799,241,129,239,129
62,Lonicera maackii,1030476386,42.713889,-84.475278,PRESERVED_SPECIMEN,"cdround,gass84",8.708333269,10.79999968,28.19843316,1006.133086,26.29999924,-12,38.29999924,20.8166666,-4.066666762,20.8166666,-4.066666762,796,89,35,26.46379431,244,130,244,130
63,Lonicera maackii,1030476367,42.714278,-84.427861,PRESERVED_SPECIMEN,"cdround,gass84",8.54583327,10.79166656,28.39912252,998.0127065,25.89999962,-12.10000038,38,20.48333343,-4.166666776,20.48333343,-4.166666776,791,88,35,26.33051862,241,129,241,129
64,Lonicera maackii,1841305366,42.630572,-70.844303,HUMAN_OBSERVATION,"cdround,gass84",9.220833282,10.87499996,30.20833322,905.7755396,26.60000038,-9.399999619,36,0.566666782,20.33333302,20.33333302,-2.083333254,1105,107,78,9.515161391,305,246,246,282
65,Lonicera maackii,1848811837,42.655803,-88.330392,HUMAN_OBSERVATION,"cdround,gass84",8.225000065,11.15000002,27.46305397,1057.255253,26.60000038,-14,40.60000038,20.76666705,-5.483333344,20.76666705,-5.483333344,877,105,31,33.81912472,304,120,304,120
66,Lonicera maackii,1668888053,42.553879,-83.952618,HUMAN_OBSERVATION,"cdround,gass84",8.420833327,10.57499991,27.75590501,1003.544762,26,-12.10000038,38.10000038,20.5,-4.333333433,20.5,-4.333333433,779,85,38,23.5686044,235,135,235,135
67,Lonicera maackii,1802647355,42.647848,-84.445397,HUMAN_OBSERVATION,"cdround,gass84",8.491666685,11.03333334,28.65800797,1003.525229,26.20000076,-12.30000019,38.50000095,19.51666689,-4.283333321,20.55000003,-4.283333321,792,89,35,26.41718218,243,129,242,129
69,Lonicera maackii,1571073063,42.472095,-87.933015,HUMAN_OBSERVATION,"cdround,gass84",8.495833422,10.59166665,26.88240227,1028.939134,26.60000038,-12.80000019,39.40000057,19.98333343,-4.733333349,20.76666705,-4.733333349,883,102,33,31.25363015,294,131,293,131
70,Lonicera maackii,1668860056,42.474764,-83.994834,HUMAN_OBSERVATION,"cdround,gass84",8.508333288,10.56666681,27.88038763,999.0082138,26,-11.89999962,37.89999962,20.54999987,-4.183333347,20.54999987,-4.183333347,794,87,39,23.19414571,241,139,241,139
71,Lonicera maackii,1677314132,42.423712,-83.977945,HUMAN_OBSERVATION,"cdround,gass84",8.57083324,9.958333326,26.98735347,991.120702,25.79999924,-11.10000038,36.89999962,20.51666641,-3.983333369,20.51666641,-3.983333369,803,86,40,22.41326434,241,142,241,142
72,Lonicera maackii,1677314119,42.423662,-83.977997,HUMAN_OBSERVATION,"cdround,gass84",8.57083324,9.958333326,26.98735347,991.120702,25.79999924,-11.10000038,36.89999962,20.51666641,-3.983333369,20.51666641,-3.983333369,803,86,40,22.41326434,241,142,241,142
73,Lonicera maackii,1802646970,42.405635,-85.400258,HUMAN_OBSERVATION,"cdround,gass84",8.862499958,10.32500019,27.46010662,998.1462878,26.10000038,-11.5,37.60000038,19.85000006,-2.549999992,20.84999975,-3.850000064,901,99,39,24.23835505,277,149,271,155
74,Lonicera maackii,1802689639,42.405568,-85.40032,HUMAN_OBSERVATION,"cdround,gass84",8.862499958,10.32500019,27.46010662,998.1462878,26.10000038,-11.5,37.60000038,19.85000006,-2.549999992,20.84999975,-3.850000064,901,99,39,24.23835505,277,149,271,155
75,Lonicera maackii,1703126558,42.467041,-83.99437,HUMAN_OBSERVATION,"cdround,gass84",8.508333288,10.56666681,27.88038763,999.0082138,26,-11.89999962,37.89999962,20.54999987,-4.183333347,20.54999987,-4.183333347,794,87,39,23.19414571,241,139,241,139
76,Lonicera maackii,1453065407,42.401795,-71.328801,HUMAN_OBSERVATION,gass84,9.10833327,11.49999992,30.83109883,927.5133714,27.10000038,-10.19999981,37.30000019,0.200000087,17.93333332,20.39999994,-2.533333381,1172,112,86,7.46447193,319,275,278,293
77,Lonicera maackii,143151176,42.5,129,LIVING_SPECIMEN,gass84,4.57499984,11.89999984,25.81344845,1232.116619,26.39999962,-19.70000076,46.10000038,18.89999978,-11.6333336,18.89999978,-11.6333336,621,139,5,93.71605558,374,21,374,21
78,Lonicera maackii,1848769552,42.287133,-83.742425,HUMAN_OBSERVATION,"cdround,gass84",9.470833276,10.34166671,27.35890719,1004.965977,26.89999962,-10.89999962,37.79999924,21.56666644,-1.966666659,21.56666644,-3.216666659,857,87,47,18.6707672,251,163,251,163
79,Lonicera maackii,1848769769,42.28698,-83.741822,HUMAN_OBSERVATION,"cdround,gass84",9.470833276,10.34166671,27.35890719,1004.965977,26.89999962,-10.89999962,37.79999924,21.56666644,-1.966666659,21.56666644,-3.216666659,857,87,47,18.6707672,251,163,251,163
80,Lonicera maackii,1848791588,42.374823,-83.917404,HUMAN_OBSERVATION,"cdround,gass84",8.616666712,10.46666677,27.76304128,997.1216158,26.20000076,-11.5,37.70000076,20.6500001,-4.016666581,20.6500001,-4.016666581,819,87,42,21.3221555,244,148,244,148
81,Lonicera maackii,1848769814,42.287022,-83.741888,HUMAN_OBSERVATION,"cdround,gass84",9.470833276,10.34166671,27.35890719,1004.965977,26.89999962,-10.89999962,37.79999924,21.56666644,-1.966666659,21.56666644,-3.216666659,857,87,47,18.6707672,251,163,251,163
82,Lonicera maackii,1848769556,42.287125,-83.742195,HUMAN_OBSERVATION,gass84,9.470833276,10.34166671,27.35890719,1004.965977,26.89999962,-10.89999962,37.79999924,21.56666644,-1.966666659,21.56666644,-3.216666659,857,87,47,18.6707672,251,163,251,163
83,Lonicera maackii,1848769630,42.287138,-83.742355,HUMAN_OBSERVATION,"cdround,gass84",9.470833276,10.34166671,27.35890719,1004.965977,26.89999962,-10.89999962,37.79999924,21.56666644,-1.966666659,21.56666644,-3.216666659,857,87,47,18.6707672,251,163,251,163
84,Lonicera maackii,1848769891,42.287158,-83.742622,HUMAN_OBSERVATION,"cdround,gass84",9.470833276,10.34166671,27.35890719,1004.965977,26.89999962,-10.89999962,37.79999924,21.56666644,-1.966666659,21.56666644,-3.216666659,857,87,47,18.6707672,251,163,251,163
85,Lonicera maackii,1848770231,42.28715,-83.742613,HUMAN_OBSERVATION,"cdround,gass84",9.470833276,10.34166671,27.35890719,1004.965977,26.89999962,-10.89999962,37.79999924,21.56666644,-1.966666659,21.56666644,-3.216666659,857,87,47,18.6707672,251,163,251,163
86,Lonicera maackii,1848769593,42.287128,-83.742387,HUMAN_OBSERVATION,"cdround,gass84",9.470833276,10.34166671,27.35890719,1004.965977,26.89999962,-10.89999962,37.79999924,21.56666644,-1.966666659,21.56666644,-3.216666659,857,87,47,18.6707672,251,163,251,163
87,Lonicera maackii,1848796690,42.315887,-83.885535,HUMAN_OBSERVATION,"cdround,gass84",8.65833323,10.83333324,28.35951124,1000.08143,26.39999962,-11.80000019,38.19999981,20.71666654,-2.766666651,20.71666654,-4.033333381,834,88,44,20.42571101,248,154,248,154
88,Lonicera maackii,1586146298,42.282588,-83.722937,HUMAN_OBSERVATION,"cdround,gass84",9.29583339,10.29166653,27.22663157,1004.979552,26.79999924,-11,37.79999924,21.38333352,-2.133333266,21.38333352,-3.416666647,866,87,48,18.39995079,253,165,253,166
89,Lonicera maackii,1668829860,42.350006,-71.577836,HUMAN_OBSERVATION,"cdround,gass84",8.983333341,11.71666687,30.91468785,948.6745191,27.20000076,-10.69999981,37.90000057,4.866666762,17.98333327,20.53333346,-2.883333365,1208,117,89,6.767136866,324,292,298,294
90,Lonicera maackii,1668813785,42.278345,-83.750222,HUMAN_OBSERVATION,"cdround,gass84",9.379166579,10.42499992,27.36220424,1008.940614,27,-11.10000038,38.10000038,21.53333298,-2.083333413,21.53333298,-3.366666714,861,88,47,19.00259185,253,163,253,163
91,Lonicera maackii,1677274639,42.308655,-88.464189,HUMAN_OBSERVATION,"cdround,gass84",8.349999932,11.48333328,27.87216765,1063.247599,27.10000038,-14.10000038,41.20000076,20.98333327,-5.400000105,20.98333327,-5.400000105,927,108,32,34.62774321,320,123,320,123
92,Lonicera maackii,1668811355,42.290827,-83.728424,HUMAN_OBSERVATION,"cdround,gass84",9.449999928,10.29999987,27.17678094,1006.149264,27,-10.89999962,37.89999962,21.56666644,-1.98333327,21.56666644,-3.266666571,856,86,47,18.55115161,250,163,250,163
93,Lonicera maackii,1668889197,42.275689,-83.692604,HUMAN_OBSERVATION,"cdround,gass84",9.233333415,10.26666656,27.30496398,997.0441231,26.70000076,-10.89999962,37.60000038,21.21666702,-2.133333246,21.21666702,-3.383333246,858,87,47,18.56604079,251,164,251,164
94,Lonicera maackii,1677335305,42.272347,-83.690553,HUMAN_OBSERVATION,"cdround,gass84",9.204166722,10.37499998,27.51989328,997.3589296,26.70000076,-11,37.70000076,21.20000029,-2.166666706,21.20000029,-3.400000056,856,87,47,18.46666418,251,164,251,164
95,Lonicera maackii,1677349258,42.272647,-83.684883,HUMAN_OBSERVATION,"cdround,gass84",9.204166722,10.37499998,27.51989328,997.3589296,26.70000076,-11,37.70000076,21.20000029,-2.166666706,21.20000029,-3.400000056,856,87,47,18.46666418,251,164,251,164
96,Lonicera maackii,1677310902,42.278071,-83.696744,HUMAN_OBSERVATION,"cdround,gass84",9.233333415,10.26666656,27.30496398,997.0441231,26.70000076,-10.89999962,37.60000038,21.21666702,-2.133333246,21.21666702,-3.383333246,858,87,47,18.56604079,251,164,251,164
97,Lonicera maackii,1668888938,42.27698,-83.696455,HUMAN_OBSERVATION,gass84,9.233333415,10.26666656,27.30496398,997.0441231,26.70000076,-10.89999962,37.60000038,21.21666702,-2.133333246,21.21666702,-3.383333246,858,87,47,18.56604079,251,164,251,164
98,Lonicera maackii,1677334419,42.272863,-83.686788,HUMAN_OBSERVATION,"cdround,gass84",9.204166722,10.37499998,27.51989328,997.3589296,26.70000076,-11,37.70000076,21.20000029,-2.166666706,21.20000029,-3.400000056,856,87,47,18.46666418,251,164,251,164
99,Lonicera maackii,1802651791,42.303715,-88.478249,HUMAN_OBSERVATION,"cdround,gass84",8.416666749,11.61666692,28.12752202,1063.630871,27.20000076,-14.10000038,41.30000114,21.05000019,-5.350000093,21.05000019,-5.350000093,921,107,32,34.66438054,317,122,317,122
100,Lonicera maackii,1802651783,42.303652,-88.480382,HUMAN_OBSERVATION,"cdround,gass84",8.416666749,11.61666692,28.12752202,1063.630871,27.20000076,-14.10000038,41.30000114,21.05000019,-5.350000093,21.05000019,-5.350000093,921,107,32,34.66438054,317,122,317,122
101,Lonicera maackii,1640031578,42.283766,-83.717397,HUMAN_OBSERVATION,"cdround,gass84",9.387499968,10.25833329,27.13844839,1004.578426,26.89999962,-10.89999962,37.79999924,21.48333311,-2.049999793,21.48333311,-3.299999873,858,87,47,18.4445401,251,164,251,164
102,Lonicera maackii,1640124233,42.3041,-83.753628,HUMAN_OBSERVATION,"cdround,gass84",9.245833438,10.32500015,27.38726774,1000.882485,26.70000076,-11,37.70000076,21.26666705,-2.166666726,21.26666705,-3.433333377,849,86,46,18.89727461,249,161,249,161
103,Lonicera maackii,1453123770,42.399233,-83.310828,HUMAN_OBSERVATION,"cdround,gass84",9.670833295,10.12499977,27.14477137,996.8232603,27,-10.30000019,37.30000019,21.66666667,-1.649999917,21.66666667,-2.933333258,811,87,44,20.22725499,244,151,244,153
104,Lonicera maackii,1640124451,42.322469,-83.681416,HUMAN_OBSERVATION,"cdround,gass84",8.808333396,10.38333345,27.83735494,987.6966688,26.10000038,-11.19999981,37.30000019,20.66666683,-2.50000004,20.66666683,-3.700000048,854,87,47,18.69230634,251,163,251,163
105,Lonicera maackii,1453190172,42.297722,-82.922478,HUMAN_OBSERVATION,"cdround,gass84",9.475000101,9.800000076,26.34408569,1001.772301,26.70000076,-10.5,37.20000076,20.65000025,-1.98333327,21.58333365,-3.149999976,891,93,50,17.74901768,261,170,252,174
106,Lonicera maackii,1802613328,42.296597,-82.923592,HUMAN_OBSERVATION,"cdround,gass84",9.475000101,9.800000076,26.34408569,1001.772301,26.70000076,-10.5,37.20000076,20.65000025,-1.98333327,21.58333365,-3.149999976,891,93,50,17.74901768,261,170,252,174
107,Lonicera maackii,1144278617,42.307347,-83.758805,HUMAN_OBSERVATION,"cdround,gass84",9.095833313,10.24166657,27.23847465,1000.146485,26.5,-11.10000038,37.60000038,21.0999999,-2.316666683,21.0999999,-3.566666643,858,87,47,18.83425651,251,163,251,163
108,Lonicera maackii,1144278650,42.308217,-83.744592,HUMAN_OBSERVATION,"cdround,gass84",9.295833315,10.32499992,27.31481515,1003.553817,26.79999924,-11,37.79999924,21.35000006,-3.416666706,21.35000006,-3.416666706,852,86,46,18.94191902,249,161,249,161
109,Lonicera maackii,1144278646,42.280826,-83.743038,HUMAN_OBSERVATION,gass84,9.379166559,10.40833323,27.39035061,1008.4021,26.89999962,-11.10000038,38,21.51666625,-3.366666714,21.51666625,-3.366666714,866,88,47,18.86476895,255,164,255,164
110,Lonicera maackii,1703126416,42.31483,-83.684943,HUMAN_OBSERVATION,"cdround,gass84",8.916666813,10.33333344,27.70330595,988.753445,26.20000076,-11.10000038,37.30000114,20.80000051,-2.400000056,20.80000051,-3.599999984,860,87,48,18.43806391,252,165,252,165
111,Lonicera maackii,606658255,42.29861,-71.12833,PRESERVED_SPECIMEN,gass84,10.04999996,10.98333313,30.17399164,912.7431273,27.60000038,-8.800000191,36.40000057,1.266666571,18.66666683,21.23333359,-1.300000072,1149,108,84,8.305356998,315,259,267,296
